RedField(Td)          RedDiff((ms)^-1)      RedMob((msV)^-1)      DriftVelocity(ms^-1)  RedTow(m^2)           RedAtt(m^2)           RedDiffE(eV(ms)^-1)   RedMobE(eV(msV)^-1)   MeanE(eV)             CharE(eV)             EleTemp(eV)           
+2.91664077602370e+00 +8.88888793502488e+24 +1.31107973944635e+24 +3.82394862868775e+03 +0.00000000000000e+00 +0.00000000000000e+00 +2.75648430424275e+25 +7.97122603614847e+24 +4.08076398026768e+00 +6.77982251390639e+00 +2.72050932017845e+00 
+2.98480791692433e+00 +8.83290610047950e+24 +1.28852218091290e+24 +3.84599120672142e+03 +0.00000000000000e+00 +0.00000000000000e+00 +2.76777936514821e+25 +7.91571891903806e+24 +4.12343209369151e+00 +6.85506717022249e+00 +2.74895472912767e+00 
+3.05456824651543e+00 +8.77661119395159e+24 +1.26653836243783e+24 +3.86872786489624e+03 +6.12852154569890e-44 +0.00000000000000e+00 +2.77899195779763e+25 +7.86102096906479e+24 +4.16629289542805e+00 +6.92960549340046e+00 +2.77752859695203e+00 
+3.12595900048228e+00 +8.72207425557788e+24 +1.24516368727916e+24 +3.89233063532398e+03 +2.03546889320939e-43 +0.00000000000000e+00 +2.79015521366370e+25 +7.80724282593618e+24 +4.20929923341387e+00 +7.00476117693147e+00 +2.80619948894258e+00 
+3.19901828477507e+00 +8.66836964402850e+24 +1.22442864663273e+24 +3.91696962898050e+03 +6.58942938395943e-43 +0.00000000000000e+00 +2.80123137579183e+25 +7.75448471171519e+24 +4.25238396449418e+00 +7.07952208392635e+00 +2.83492264299612e+00 
+3.27378509594858e+00 +8.61558970650716e+24 +1.20437008923187e+24 +3.94284884813356e+03 +2.07940444224267e-42 +0.00000000000000e+00 +2.81220364195271e+25 +7.70286141357159e+24 +4.29547299974700e+00 +7.15360650645354e+00 +2.86364866649800e+00 
+3.35029934197723e+00 +8.56383615159924e+24 +1.18502771605296e+24 +3.97019757731702e+03 +6.39709504280799e-42 +0.00000000000000e+00 +2.82305316541677e+25 +7.65249439662744e+24 +4.33848203266707e+00 +7.22669692496583e+00 +2.89232135511138e+00 
+3.42860186355659e+00 +8.51321859289548e+24 +1.16644316395580e+24 +3.99926920567169e+03 +1.91882627429339e-41 +0.00000000000000e+00 +2.83375922309159e+25 +7.60350985440805e+24 +4.38131706192051e+00 +7.29844269824886e+00 +2.92087804128034e+00 
+3.50873445590271e+00 +8.46385255533983e+24 +1.14865887860670e+24 +4.03033898544590e+03 +5.61261623359293e-41 +0.00000000000000e+00 +2.84429949004064e+25 +7.55603628312446e+24 +4.42387537703232e+00 +7.36846483579729e+00 +2.94925025135488e+00 
+3.59073989106105e+00 +8.41585699073625e+24 +1.13171681567025e+24 +4.06370071541177e+03 +1.60122100840287e-40 +0.00000000000000e+00 +2.85465041788396e+25 +7.51020165163076e+24 +4.46604701054415e+00 +7.43636294363269e+00 +2.97736467369610e+00 
+3.67466194073669e+00 +8.36935138973457e+24 +1.11565702625966e+24 +4.09966241331184e+03 +4.45640459576257e-40 +0.00000000000000e+00 +2.86478770671938e+25 +7.46613027687803e+24 +4.50771662710348e+00 +7.50172426896605e+00 +3.00514441806899e+00 
+3.76054539965817e+00 +8.32425615792035e+24 +1.10052029836287e+24 +4.13855654523893e+03 +1.24195307834810e-39 +0.00000000000000e+00 +2.87467843102422e+25 +7.42393743183707e+24 +4.54875931724954e+00 +7.56392787148359e+00 +3.03250621149969e+00 
+3.84843610948743e+00 +8.28107824717457e+24 +1.08633120499503e+24 +4.18067623616586e+03 +3.29956967805671e-39 +0.00000000000000e+00 +2.88431530279398e+25 +7.38373518859286e+24 +4.58906863905563e+00 +7.62297742078804e+00 +3.05937909270375e+00 
+3.93838098328849e+00 +8.23971978417942e+24 +1.07311882965123e+24 +4.22635079150720e+03 +8.56022551466478e-39 +0.00000000000000e+00 +2.89366681051652e+25 +7.34561474137199e+24 +4.62852160151113e+00 +7.67829205537041e+00 +3.08568106767409e+00 
+4.03042803056805e+00 +8.20027032841269e+24 +1.06090170376250e+24 +4.27588796452177e+03 +2.16936687923865e-38 +0.00000000000000e+00 +2.90271147982671e+25 +7.30965398906075e+24 +4.66700621410398e+00 +7.72952885204196e+00 +3.11133747606932e+00 
+4.12462638290135e+00 +8.16280458120657e+24 +1.04969022815822e+24 +4.32958000893512e+03 +5.37225967751327e-38 +0.00000000000000e+00 +2.91143002379343e+25 +7.27591258224210e+24 +4.70441797560601e+00 +7.77639379908204e+00 +3.13627865040400e+00 
+4.22102632015690e+00 +8.12738024520741e+24 +1.03948608439124e+24 +4.38769812165225e+03 +1.30054473882306e-37 +0.00000000000000e+00 +2.91980583658968e+25 +7.24443029800100e+24 +4.74066225044732e+00 +7.81865228139837e+00 +3.16044150029821e+00 
+4.31967929733417e+00 +8.09403649647877e+24 +1.03028196656451e+24 +4.45048768138546e+03 +3.07905364049176e-37 +0.00000000000000e+00 +2.92782539168530e+25 +7.21522609748614e+24 +4.77565629059811e+00 +7.85613721209586e+00 +3.18377086039874e+00 
+4.42063797202853e+00 +8.06279312526539e+24 +1.02206163748368e+24 +4.51816448441399e+03 +7.13218575426924e-37 +0.00000000000000e+00 +2.93547852791228e+25 +7.18829789234672e+24 +4.80933081710870e+00 +7.88875428796648e+00 +3.20622054473913e+00 
+4.52395623253805e+00 +8.03365035621190e+24 +1.01480029206531e+24 +4.59091210607028e+03 +1.61711400905152e-36 +0.00000000000000e+00 +2.94275861472481e+25 +7.16362300046612e+24 +4.84163110749149e+00 +7.91648407970195e+00 +3.22775407166099e+00 
+4.62968922662727e+00 +8.00578309039075e+24 +1.00857602789934e+24 +4.66939357060011e+03 +3.58682945204707e-36 +0.00000000000000e+00 +2.94964136970718e+25 +7.14119346803888e+24 +4.87250600244300e+00 +7.93770907589897e+00 +3.24833733496200e+00 
+4.73789339096314e+00 +7.98077783669098e+24 +1.00313968572072e+24 +4.75276888718904e+03 +7.80244553400029e-36 +0.00000000000000e+00 +2.95616939353074e+25 +7.12088602409878e+24 +4.90195312575296e+00 +7.95579912777260e+00 +3.26796875050197e+00 
+4.84862648123908e+00 +7.95776379221038e+24 +9.98544421141428e+23 +4.84156892303988e+03 +1.66382194527557e-35 +0.00000000000000e+00 +2.96232549013645e+25 +7.10265402363796e+24 +4.92995234145437e+00 +7.96936382971718e+00 +3.28663489430291e+00 
+4.96194760300290e+00 +7.93667291795451e+24 +9.94739393733974e+23 +4.93584475035085e+03 +3.47986477587663e-35 +0.00000000000000e+00 +2.96811651214174e+25 +7.08640801175949e+24 +4.95650809085395e+00 +7.97864543009849e+00 +3.30433872723596e+00 
+5.07791724320540e+00 +7.91742471161105e+24 +9.91670023925137e+23 +5.03561831405937e+03 +7.14205143437104e-35 +0.00000000000000e+00 +2.97355206379040e+25 +7.07204752329211e+24 +4.98163772496190e+00 +7.98393066301734e+00 +3.32109181664127e+00 
+5.19659730248620e+00 +7.89992849730790e+24 +9.89279167485416e+23 +5.14088545316050e+03 +1.43918029408611e-34 +0.00000000000000e+00 +2.97864413450671e+25 +7.05946363538125e+24 +5.00537015163226e+00 +7.98554013564059e+00 +3.33691343442151e+00 
+5.31805112821420e+00 +7.88408574423739e+24 +9.87508238360061e+23 +5.25161930113154e+03 +2.84882056147856e-34 +0.00000000000000e+00 +2.98340670814380e+25 +7.04854146473246e+24 +5.02774432604551e+00 +7.98381769182034e+00 +3.35182955069700e+00 
+5.44234354830027e+00 +7.86979232284924e+24 +9.86298244239118e+23 +5.36777388623465e+03 +5.54238804820772e-34 +0.00000000000000e+00 +2.98785536594508e+25 +7.03916252457909e+24 +5.04880766266765e+00 +7.97912028011406e+00 +3.36587177511177e+00 
+5.56954090580013e+00 +7.85694062541873e+24 +9.85590709372600e+23 +5.48928777222727e+03 +1.06030821755901e-33 +0.00000000000000e+00 +2.99200689857807e+25 +7.03120687722730e+24 +5.06861443768072e+00 +7.97180873429726e+00 +3.37907629178714e+00 
+5.69971109432608e+00 +7.84524122715066e+24 +9.85279518489656e+23 +5.61580860254775e+03 +2.00117047113401e-33 +0.00000000000000e+00 +2.99587312671128e+25 +7.02453798938284e+24 +5.08721425984643e+00 +7.96245235989144e+00 +3.39147617323095e+00 
+5.83292359428620e+00 +7.83494371391642e+24 +9.85404156826595e+23 +5.74778715626155e+03 +3.70705232700865e-33 +0.00000000000000e+00 +2.99948391745611e+25 +7.01907095968463e+24 +5.10469071669521e+00 +7.95099519282336e+00 +3.40312714446348e+00 
+5.96924950997073e+00 +7.82576225300629e+24 +9.85866199164239e+23 +5.88488132625784e+03 +6.76265890363072e-33 +0.00000000000000e+00 +3.00285171522070e+25 +7.01467632068340e+24 +5.12109965753452e+00 +7.93795573845673e+00 +3.41406643835635e+00 
+6.10876160750504e+00 +7.81759232445177e+24 +9.86615849944384e+23 +6.02700102549620e+03 +1.21549269229832e-32 +0.00000000000000e+00 +3.00599481185113e+25 +7.01124464611849e+24 +5.13650837770666e+00 +7.92364355883037e+00 +3.42433891847111e+00 
+6.25153435368971e+00 +7.81033321859377e+24 +9.87606481342269e+23 +6.17405584603781e+03 +2.15342252497715e-32 +0.00000000000000e+00 +3.00893122505081e+25 +7.00867185392411e+24 +5.15098447219840e+00 +7.90834544542341e+00 +3.43398964813227e+00 
+6.39764395574843e+00 +7.80388878298951e+24 +9.88794805720004e+23 +6.32595711229002e+03 +3.76216510887940e-32 +0.00000000000000e+00 +3.01167851810406e+25 +7.00685979415444e+24 +5.16459495978947e+00 +7.89232380454002e+00 +3.44306330652631e+00 
+6.54716840200474e+00 +7.79816796354740e+24 +9.90140957156958e+23 +6.48261958822876e+03 +6.48427541186612e-32 +0.00000000000000e+00 +3.01425365704296e+25 +7.00571662927398e+24 +5.17740555983269e+00 +7.87581597062571e+00 +3.45160370655513e+00 
+6.70018750350959e+00 +7.79308516352954e+24 +9.91608496603761e+23 +6.64396285731845e+03 +1.10300368609355e-31 +0.00000000000000e+00 +3.01667290215886e+25 +7.00515703556812e+24 +5.18948011255826e+00 +7.85903427635069e+00 +3.45965340837218e+00 
+6.85678293664174e+00 +7.78856044580859e+24 +9.93164355008435e+23 +6.80991240270264e+03 +1.85248606646691e-31 +0.00000000000000e+00 +3.01895173014680e+25 +7.00510225486932e+24 +5.20088013047022e+00 +7.84216671342624e+00 +3.46725342031348e+00 
+7.01703828670383e+00 +7.78270528580582e+24 +9.94241480120802e+23 +6.97663053223675e+03 +3.07991093655606e-31 +0.00000000000000e+00 +3.02109576678600e+25 +7.00520545809675e+24 +5.21174439532959e+00 +7.82778172246466e+00 +3.47449626355306e+00 
+7.18103909253735e+00 +7.77906229999909e+24 +9.95870141968802e+23 +7.15138242056869e+03 +5.04790364496188e-31 +0.00000000000000e+00 +3.02313808336025e+25 +7.00593837643877e+24 +5.22197279907611e+00 +7.81132195069142e+00 +3.48131519938407e+00 
+7.34887289218039e+00 +7.77577171082125e+24 +9.97507483144392e+23 +7.33055570262691e+03 +8.17753416932659e-31 +0.00000000000000e+00 +3.02508133016716e+25 +7.00697810751400e+24 +5.23169447026482e+00 +7.79520138165789e+00 +3.48779631350988e+00 
+7.52062926959241e+00 +7.77277600684599e+24 +9.99132555002718e+23 +7.51410553735609e+03 +1.30984133813277e-30 +0.00000000000000e+00 +3.02693754735938e+25 +7.00827061290417e+24 +5.24095924182667e+00 +7.77952431629539e+00 +3.49397282788445e+00 
+7.69639990247116e+00 +7.77002281392435e+24 +1.00072697521844e+24 +7.70199499447143e+03 +2.07511024866331e-30 +0.00000000000000e+00 +3.02871792687180e+25 +7.00976731862643e+24 +5.24981383735051e+00 +7.76437830331128e+00 +3.49987589156701e+00 
+7.87627861118706e+00 +7.76746462349762e+24 +1.00227472831738e+24 +7.89419500517948e+03 +3.25256312533643e-30 +0.00000000000000e+00 +3.03043284014868e+25 +7.01142476372812e+24 +5.25830190994687e+00 +7.74983585242907e+00 +3.50553460663125e+00 
+8.06036140886135e+00 +7.76505849920024e+24 +1.00376196715714e+24 +8.09068422375615e+03 +5.04548937088737e-30 +0.00000000000000e+00 +3.03209187286499e+25 +7.01320423847461e+24 +5.26646411870392e+00 +7.73595608647386e+00 +3.51097607913594e+00 
+8.24874655261459e+00 +7.76276577185370e+24 +1.00517681903115e+24 +8.29144882075130e+03 +7.74818584143323e-30 +0.00000000000000e+00 +3.03370386457147e+25 +7.01507142134742e+24 +5.27433823363519e+00 +7.72278630473782e+00 +3.51622548909013e+00 
+8.44153459601299e+00 +7.76055173097563e+24 +1.00650919914188e+24 +8.49648222576154e+03 +1.17825033690555e-29 +0.00000000000000e+00 +3.03527695153362e+25 +7.01699602201136e+24 +5.28195926134851e+00 +7.71036343988909e+00 +3.52130617423234e+00 
+8.63882844274045e+00 +7.75761454058937e+24 +1.00775669181159e+24 +8.70583717258394e+03 +1.77666118765073e-29 +0.00000000000000e+00 +3.03679747486151e+25 +7.01895715854816e+24 +5.28934236277754e+00 +7.69790426957519e+00 +3.52622824185169e+00 
+8.84073340152506e+00 +7.75546743486999e+24 +1.00890007658576e+24 +8.91941660587294e+03 +2.65135471892196e-29 +0.00000000000000e+00 +3.03831458542406e+25 +7.02091998158848e+24 +5.29655196537599e+00 +7.68705208261596e+00 +3.53103464358400e+00 
+9.04735724234930e+00 +7.75331568424169e+24 +1.00993974050841e+24 +9.13728562562517e+03 +3.92113756450747e-29 +0.00000000000000e+00 +3.03981343229212e+25 +7.02287015769759e+24 +5.30359836806395e+00 +7.67700821470655e+00 +3.53573224537597e+00 
+9.25881025397396e+00 +7.75113745476960e+24 +1.01087108749021e+24 +9.35946359030017e+03 +5.74834680565251e-29 +0.00000000000000e+00 +3.04129978700937e+25 +7.02479022869905e+24 +5.31050699005030e+00 +7.66778034379646e+00 +3.54033799336687e+00 
+9.47520530280654e+00 +7.74891344954140e+24 +1.01169053422021e+24 +9.58597551464251e+03 +8.35531025193211e-29 +0.00000000000000e+00 +3.04277893957167e+25 +7.02666521220975e+24 +5.31730123646104e+00 +7.65937130716964e+00 +3.54486749097403e+00 
+9.69665789314552e+00 +7.74662666755666e+24 +1.01239538947159e+24 +9.81685174430387e+03 +1.20439705679350e-28 +0.00000000000000e+00 +3.04425573931083e+25 +7.02848234916346e+24 +5.32400264746966e+00 +7.65177987584466e+00 +3.54933509831311e+00 
+9.92328622883255e+00 +7.74426217941781e+24 +1.01298374439828e+24 +1.00521276408187e+04 +1.72210583478641e-28 +0.00000000000000e+00 +3.04573463372379e+25 +7.03023087164232e+24 +5.33063104220572e+00 +7.64500143486304e+00 +3.55375402813715e+00 
+1.01552112763457e+01 +7.74180691975115e+24 +1.01345437325743e+24 +1.02918432793657e+04 +2.44301179673555e-28 +0.00000000000000e+00 +3.04721970510864e+25 +7.03190179037825e+24 +5.33720465641437e+00 +7.63902857793938e+00 +3.55813643760958e+00 
+1.03925568293671e+01 +7.74012591197410e+24 +1.01476041804971e+24 +1.05459553127739e+04 +3.42744386949535e-28 +0.00000000000000e+00 +3.04865515831363e+25 +7.03403848101661e+24 +5.34356215460512e+00 +7.62754022949579e+00 +3.56237476973675e+00 
+1.06354495748601e+01 +7.73747444050431e+24 +1.01500438747404e+24 +1.07950279812419e+04 +4.78897499671319e-28 +0.00000000000000e+00 +3.05016139545971e+25 +7.03554643141523e+24 +5.35006888538311e+00 +7.62309457573870e+00 +3.56671259025541e+00 
+1.08840191606901e+01 +7.73470207004271e+24 +1.01512957734248e+24 +1.10486897703788e+04 +6.64281000559910e-28 +0.00000000000000e+00 +3.05168417627362e+25 +7.03695848438057e+24 +5.35656723781750e+00 +7.61942341419257e+00 +3.57104482521167e+00 
+1.11383982648262e+01 +7.73180143225815e+24 +1.01513670660173e+24 +1.13069969313740e+04 +9.14912972283633e-28 +0.00000000000000e+00 +3.05322644330398e+25 +7.03827100320587e+24 +5.36307034524018e+00 +7.61651251696055e+00 +3.57538023016012e+00 
+1.13987226661605e+01 +7.72876621974803e+24 +1.01502681521248e+24 +1.15700091653232e+04 +1.25142740401645e-27 +0.00000000000000e+00 +3.05479092306555e+25 +7.03948132994203e+24 +5.36959033510774e+00 +7.61434683686672e+00 +3.57972689007183e+00 
+1.16651313169820e+01 +7.72559106648698e+24 +1.01480121383792e+24 +1.18377894200520e+04 +1.70022487325142e-27 +0.00000000000000e+00 +3.05638014944654e+25 +7.04058767000633e+24 +5.37613842195243e+00 +7.61291074659760e+00 +3.58409228130162e+00 
+1.19377664171444e+01 +7.72227143994940e+24 +1.01446143946596e+24 +1.21104037035447e+04 +2.29486201261834e-27 +0.00000000000000e+00 +3.05799648519919e+25 +7.04158898903147e+24 +5.38272499325571e+00 +7.61218824050581e+00 +3.58848332883714e+00 
+1.22167734899679e+01 +7.71640659385261e+24 +1.01310987046244e+24 +1.23769338078904e+04 +3.09059615711012e-27 +0.00000000000000e+00 +3.05966162506734e+25 +7.04191211059743e+24 +5.38952223387292e+00 +7.61655455032768e+00 +3.59301482258195e+00 
+1.25023014599146e+01 +7.71277375141846e+24 +1.01254125778256e+24 +1.26590960453987e+04 +4.11915274295612e-27 +0.00000000000000e+00 +3.06134087418953e+25 +7.04269171150858e+24 +5.39622061930285e+00 +7.61724393167862e+00 +3.59748041286857e+00 
+1.27945027320787e+01 +7.70898733056650e+24 +1.01186452440417e+24 +1.29463034219827e+04 +5.45675400646598e-27 +0.00000000000000e+00 +3.06305350489659e+25 +7.04336701257711e+24 +5.40298452175764e+00 +7.61859630873598e+00 +3.60198968117176e+00 
+1.30935332735361e+01 +7.70504525386728e+24 +1.01108175337735e+24 +1.32386325801115e+04 +7.18601766792621e-27 +0.00000000000000e+00 +3.06480137579733e+25 +7.04393919628300e+24 +5.40982174999502e+00 +7.62059569182202e+00 +3.60654783333001e+00 
